Date,Day,Age,BMI,Sex,Ticket Size,Slab,Window,Discount,Revenue,Arrival Latitude,Arrival Longitude,Departure Latitude,Departure Longitude,State Cuisine,Order Status,ETA,Curry,Spice,Cancel,CustomerID
4/1/2011,Fri,41,20.423548451591806,F,140,L,23,72,39.2,30.98184704789673,78.3796089678868,27.650274768260637,77.03480902532435,South India,is in the kitchen,28,23,6,The order has been cancelled.,78
4/1/2011,Fri,20,22.24420218601795,F,140,M,47,80,27.999999999999993,29.333973539586882,75.61801270126215,28.27640393072107,77.74564151378614,U.P.,is in the kitchen,18,1,4,"Sorry, the order can not be cancelled.",34
4/1/2011,Fri,24,21.369012804023093,M,160,M,10,83,27.200000000000006,26.493257947145743,78.24001431112471,28.182265304151347,76.83547342752219,J&K,is in the kitchen,9,5,3,The order has been cancelled.,15
4/1/2011,Fri,27,21.182299454806564,M,120,M,22,92,9.599999999999994,29.042980391750493,77.33324878349472,28.021880873346156,77.54923849176078,J&K,has been cancelled,9,5,7,"Sorry, the order can not be cancelled.",6
4/1/2011,Fri,22,18.08738157295083,M,140,S,25,52,67.2,27.042480936527475,76.22215929094058,27.10122691750966,75.93496378564168,Maharashtra,has been delivered,5,12,21,"Sorry, the order can not be cancelled.",51
4/1/2011,Fri,37,20.767922164479465,M,180,M,44,19,145.8,28.425603896589763,76.66991842497472,27.600777159670734,76.83927458043463,Maharashtra,has been cancelled,1,21,20,"Sorry, the order can not be cancelled.",73
4/1/2011,Fri,34,24.606113379423405,M,160,S,2,77,36.8,29.67944217889857,76.239041110335,27.844354552454398,77.65787404126465,J&K,in en route to delivery,20,11,22,The order has been cancelled.,24
4/1/2011,Fri,22,21.99752949433776,F,180,M,46,23,138.6,29.480521344790105,76.29317690682524,29.18496716765822,78.24091997591472,J&K,has been cancelled,20,18,9,The order has been cancelled.,8
4/1/2011,Fri,30,18.29880830593314,F,140,M,44,5,133.0,29.63688489227483,77.7221991547642,27.809230742990376,77.49940023624403,U.P.,has been cancelled,27,10,6,The order has been cancelled.,57
4/1/2011,Fri,42,18.007537841049796,M,140,S,6,59,57.400000000000006,29.028858055116586,79.09946987387458,29.91884458255068,75.36455722054228,Maharashtra,has been delivered,6,18,14,The order has been cancelled.,68
4/1/2011,Fri,35,26.371428941691818,M,180,M,26,25,135.0,27.806579822413973,75.514501739217,26.799404919871588,78.52888915635377,U.P.,has been delivered,5,3,19,"Sorry, the order can not be cancelled.",74
4/1/2011,Fri,21,23.44623637441442,M,140,S,7,12,123.2,29.070093051168783,76.97568519131521,29.25087686985404,78.07603402670466,Punjab,has been delivered,6,10,12,The order has been cancelled.,56
4/1/2011,Fri,26,23.924272461022024,M,180,L,22,93,12.59999999999999,28.859645399943957,76.19997696262486,29.51568909662053,76.99100339446291,J&K,has been delivered,16,17,7,"Sorry, the order can not be cancelled.",79
4/1/2011,Fri,37,21.426957272651155,F,160,M,16,96,6.400000000000006,27.471899829064316,78.27593010219276,26.926710546467906,74.784525220011,Haryana,has been cancelled,15,17,24,The order has been cancelled.,98
4/1/2011,Fri,43,15.71486420347421,M,120,L,25,26,88.8,27.596508533921927,77.94339751640757,29.140154588857172,77.9413003970037,South India,has been cancelled,24,1,7,"Sorry, the order can not be cancelled.",47
4/1/2011,Fri,43,22.263720521828173,M,120,S,29,46,64.80000000000001,28.291463077597363,78.26156970599868,28.55620044308254,76.06658883554421,Haryana,in en route to delivery,26,2,11,The order has been cancelled.,31
4/1/2011,Fri,22,24.859296670985202,F,140,M,30,68,44.79999999999999,27.795435919111988,76.9464993631808,31.137837653804446,75.6469269800647,Maharashtra,in en route to delivery,20,22,22,"Sorry, the order can not be cancelled.",64
4/1/2011,Fri,37,21.76891760809921,F,160,M,42,71,46.400000000000006,28.067360582432016,78.7839821696605,28.474761335946017,75.79630697751988,Punjab,has been cancelled,28,10,23,The order has been cancelled.,78
4/1/2011,Fri,43,23.285874763610202,F,180,S,4,60,72.0,30.765010208697284,77.83860187492358,27.707037604754273,79.00631425180757,U.P.,has been delivered,17,2,15,The order has been cancelled.,66
4/1/2011,Fri,25,21.705143680695315,F,160,S,12,16,134.4,26.684389698809436,76.80214380608051,27.458550188175487,78.70137239090134,Maharashtra,in en route to delivery,9,9,6,The order has been cancelled.,48
4/1/2011,Fri,40,18.849469304783774,M,160,S,33,52,76.8,28.24216156134748,78.24311665781227,26.731775285078136,77.2008927469443,Maharashtra,has been cancelled,5,5,12,The order has been cancelled.,46
4/1/2011,Fri,30,17.54940794641742,F,160,L,11,16,134.4,28.034509158594332,78.19455372822279,28.430181564328176,76.2915681285,Punjab,is in the kitchen,28,7,15,The order has been cancelled.,97
4/1/2011,Fri,33,21.932929667534026,M,140,L,14,37,88.2,27.944585034075043,79.50150763452825,31.164203387293874,77.53198837382426,J&K,in en route to delivery,20,18,16,"Sorry, the order can not be cancelled.",37
4/2/2011,Sat,27,23.23863373904714,F,140,L,4,41,82.60000000000001,28.099075441551456,77.4851727276818,29.726918080534848,75.35428208303738,Haryana,in en route to delivery,3,20,20,The order has been cancelled.,44
4/2/2011,Sat,30,22.671723646155378,M,140,S,18,48,72.8,27.144852409312495,77.83377471449886,28.957051934774604,77.96897267914306,Punjab,in en route to delivery,28,19,2,"Sorry, the order can not be cancelled.",70
4/2/2011,Sat,36,21.314651875940307,F,120,S,37,56,52.8,27.250521342333947,76.83620211785261,26.650646700606753,78.23649010905979,Maharashtra,is in the kitchen,5,24,11,The order has been cancelled.,51
4/2/2011,Sat,22,18.51196800671257,F,180,M,42,59,73.80000000000001,28.44597539561391,77.39540882920129,27.01001306173826,74.79140504269668,Haryana,in en route to delivery,27,9,5,"Sorry, the order can not be cancelled.",15
4/2/2011,Sat,31,17.285053990727974,M,180,L,41,90,17.999999999999996,29.00217348607998,76.17387323968677,27.037120382023005,78.64749719915906,Maharashtra,is in the kitchen,9,24,9,"Sorry, the order can not be cancelled.",9
4/2/2011,Sat,39,24.623204201888264,M,160,S,30,97,4.800000000000004,29.407926215620826,76.858484461128,28.48188325277444,76.2157665486366,Punjab,in en route to delivery,28,15,15,"Sorry, the order can not be cancelled.",98
4/2/2011,Sat,35,20.220641550155005,M,140,L,41,12,123.2,27.621133355453548,77.44022921843641,28.594136962614286,77.37751007608489,J&K,in en route to delivery,26,20,23,The order has been cancelled.,10
4/2/2011,Sat,44,24.9021961707014,M,160,M,9,33,107.19999999999999,28.682215918840225,75.60709024247473,27.886645118603713,76.29836600891409,U.P.,has been delivered,24,11,11,The order has been cancelled.,51
4/2/2011,Sat,31,18.695653397834626,F,120,S,40,60,48.0,29.591049357201342,77.30618040908136,28.662612953288278,77.21692964680808,J&K,is in the kitchen,23,20,15,"Sorry, the order can not be cancelled.",93
4/2/2011,Sat,22,21.26609314720902,M,120,M,7,29,85.19999999999999,29.716833197391512,77.26557604040717,28.335845775276468,76.12592892953282,Maharashtra,has been cancelled,16,3,21,The order has been cancelled.,66
4/2/2011,Sat,35,24.009668812764932,F,120,S,27,78,26.4,31.227889902321365,77.81888453151225,28.185078165066145,77.76301948280535,Haryana,has been cancelled,2,14,23,"Sorry, the order can not be cancelled.",18
4/2/2011,Sat,21,23.889972995642083,F,160,M,6,99,1.6000000000000014,28.74381402957653,76.54731036525088,30.026397760422853,78.55421627195996,Punjab,is in the kitchen,16,22,17,"Sorry, the order can not be cancelled.",44
4/2/2011,Sat,37,22.369984259068843,F,180,M,5,77,41.4,27.26389534726321,77.05719167538756,28.699965271485095,78.20861976377111,U.P.,has been cancelled,13,23,8,"Sorry, the order can not be cancelled.",53
4/2/2011,Sat,39,19.134310015794483,M,120,M,22,19,97.2,28.73565798040563,77.2153150192071,27.912063565882253,77.36454888599633,U.P.,has been delivered,24,5,5,"Sorry, the order can not be cancelled.",20
4/2/2011,Sat,38,28.06110387806653,F,160,S,39,91,14.399999999999995,26.914219836938408,76.01258019968493,28.252118323169583,76.20966260569553,Haryana,in en route to delivery,26,24,19,"Sorry, the order can not be cancelled.",21
